system,method,n,seeds,evaluated_available,abs_rho,low,high,difference_vs_q,difference_low,difference_high,control_mean_abs_rho,within_control_abs_rho
KanekoEntropy,mean_correlation,140,4,164,0.38387089720321016,0.2395409107737875,0.5574174267863152,-0.33145568651461815,-0.37381585552102337,-0.28674564975934835,0.395644599303136,0.05792822935117758
KanekoEntropy,mean_abs_correlation,140,4,164,0.9687739170365836,0.9541947336191061,0.9793893797568018,0.25344733331875524,0.08580094181498932,0.3836542021473528,0.9752613240418121,0.2176474447287279
KanekoEntropy,temporal_spectral_entropy,140,4,164,0.986897290678096,0.9790744466800806,0.9921966582101306,0.27157070696026764,0.10383909330353591,0.3989880291250155,0.9918118466898957,0.07559754204115549
KanekoEntropy,mean_channel_sd,140,4,164,0.941326452515799,0.9100658999870785,0.9529277949121772,0.22599986879797074,0.06369223401708035,0.34413180303591273,0.9217770034843208,0.1435150560913206
Rossler,q,672,32,672,0.848393634962217,0.8359491285354906,0.8610797325428318,0.0,0.0,0.0,0.922077922077922,0.05029058888399254
Rossler,mean_PC1,672,32,672,0.8414127951798769,0.8270203329860969,0.8566092781245417,-0.006980839782340098,-0.017696258629705846,0.0038422110383255475,0.9038961038961039,0.01666617369184782
Rossler,distribution_PC1,672,32,672,0.8233448858159598,0.805802349988622,0.8403167654124759,-0.02504874914625721,-0.03979802626860239,-0.010277766375358106,0.9038961038961039,0.013296242646107456
Rossler,mean_correlation,672,32,672,0.7297106195633709,0.7058291453739033,0.7513483498277146,-0.11868301539884607,-0.14458028298134507,-0.09375132942080959,0.8337662337662338,0.014233698851753563
Rossler,mean_abs_correlation,672,32,672,0.8487797766017384,0.8344008777081777,0.8631759380387649,0.0003861416395214423,-0.013225985914166957,0.012885906526419244,0.9259740259740258,0.019421955653777932
Rossler,temporal_spectral_entropy,672,32,672,0.5606146678936731,0.5157335455184808,0.6012466616993702,-0.2877789670685439,-0.3314769480410712,-0.24752619442799012,0.864935064935065,0.030011212936334124
Rossler,mean_channel_sd,672,32,672,0.3486485319420793,0.29939939566474527,0.3956691097901185,-0.4997451030201377,-0.5492783131088375,-0.4500286417897088,0.7688311688311688,0.046118242461993225
