feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_Wave1D
113,anm,pdist_chebyshev,0.06484013788832965,64,64
114,anm,pdist_cityblock,0.02344591759307446,64,64
115,anm,pdist_cosine,0.007747810454640902,64,64
116,anm,pdist_euclidean,0.008922512014094247,64,64
117,anm,pec,0.1967731200359007,64,64
118,anm,pec_log,0.17850297482769195,64,64
119,anm,pec_orth,0.4955194061787728,64,64
120,anm,pec_orth_abs,0.0847854986445028,64,64
121,anm,pec_orth_log,0.31846115921213797,64,64
122,anm,pec_orth_log_abs,0.08625583496206346,64,64
123,anm,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.051959805064038855,64,64
124,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.037520816303244775,64,64
125,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.037663771796595524,64,64
126,anm,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.203125,64,64
127,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4840732722840851,64,64
128,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4953447232587584,64,64
129,anm,pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1282179802267988,64,64
130,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.016085994809822313,64,64
131,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.03921536491278349,64,64
132,anm,pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.109375,64,64
133,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.140625,64,64
134,anm,pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.21875,64,64
135,anm,plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.05458168076151515,64,64
136,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06858875748365917,64,64
137,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.04947107418996327,64,64
138,anm,plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04888251380375919,64,64
139,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08178257484452378,64,64
140,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.07229916292419647,64,64
141,anm,ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.09225286479649386,64,64
142,anm,ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06858065115760209,64,64
143,anm,ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,0.04947476329707595,64,64
144,anm,ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.035732978160289086,64,64
145,anm,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.07986685400309579,64,64
146,anm,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.016535322589909862,64,64
147,anm,prec-sq_EmpiricalCovariance,0.12562979159273052,64,64
148,anm,prec-sq_GraphicalLasso,0.03115642299124677,64,64
149,anm,prec-sq_LedoitWolf,0.153392757186804,64,64
150,anm,prec-sq_OAS,0.15614442081466423,64,64
151,anm,prec-sq_ShrunkCovariance,0.16285689279605647,64,64
152,anm,prec_EmpiricalCovariance,0.07955409141891667,64,64
153,anm,prec_GraphicalLasso,0.19947314253682205,64,64
154,anm,prec_LedoitWolf,0.4153099035905655,64,64
155,anm,prec_OAS,0.4174847969463732,64,64
156,anm,prec_ShrunkCovariance,0.36629586732901454,64,64
157,anm,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.06422796347969051,64,64
158,anm,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.12400485846432333,64,64
159,anm,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10335191327715987,64,64
160,anm,psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.17588881854157334,64,64
161,anm,psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.07578020588688067,64,64
162,anm,psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.1831457477980718,64,64
163,anm,psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.21669029052376962,64,64
164,anm,psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.1593515682347299,64,64
165,anm,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.18129350628621074,64,64
166,anm,reci,0.14608437142608205,64,64
167,anm,sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,0.2365526053103773,64,64
168,anm,sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,0.18517112932255625,64,64
169,anm,sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,0.18553075050239148,64,64
170,anm,sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,0.24743935885888507,64,64
171,anm,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,0.1653083701772416,64,64
172,anm,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,0.16540931833716377,64,64
173,anm,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,0.13771658718121849,64,64
174,anm,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,0.43434630679950514,64,64
175,anm,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,0.984375,64,64
176,anm,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,0.16785320784730923,64,64
177,anm,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,0.4831335124586552,64,64
178,anm,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,0.96875,64,64
179,anm,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,0.1489452905483995,64,64
180,anm,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,0.46041115014133277,64,64
181,anm,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-None,0.96875,64,64
182,anm,sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,0.1368748110639902,64,64
183,anm,sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,0.7746876918583786,64,64
184,anm,sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,0.984375,64,64
185,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,0.153045663129946,64,64
186,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,0.7310536631432398,64,64
187,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,0.9375,64,64
188,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-None,0.953125,64,64
189,anm,sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,0.13208062670487253,64,64
190,anm,sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20,0.7508275151624036,64,64
191,anm,si_gaussian_k-1,0.90625,64,64
192,anm,si_kernel_W-0.5_k-1,0.10554092335647991,64,64
193,anm,si_kozachenko_k-1,0.1823276158310439,64,64
194,anm,spearmanr,0.42856178952135837,64,64
195,anm,spearmanr-sq,0.08276598010589387,64,64
196,anm,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.3038793634937782,64,64
197,anm,tlmi_gaussian,0.07225640203224681,64,64
198,anm,tlmi_kernel_W-0.25,0.12241835112010946,64,64
199,anm,tlmi_kraskov_NN-4,0.13616634204905198,64,64
200,anm,tlmi_kraskov_NN-4_DCE,0.17133446803933206,64,64
201,anm,wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10184417161417925,64,64
202,anm,wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.009312172744675384,64,64
203,anm,wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.045817745878909355,64,64
204,anm,wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.1875,64,64
205,anm,wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.140625,64,64
206,anm,wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.078125,64,64
207,anm,xcorr-sq_max_sig-True,0.16317980924807718,64,64
