feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CauchyNoise
119,cov_EllipticEnvelope,xcorr_mean_sig-True,0.1074653652994037,96,96
120,cov_EllipticEnvelope,xcorr-sq_mean_sig-True,0.01753150656996416,96,96
121,cov_EllipticEnvelope,xcorr_mean_sig-False,0.1115233942149092,96,96
122,cov_EllipticEnvelope,xcorr-sq_mean_sig-False,0.017089965036981652,96,96
123,cov_EllipticEnvelope,pdist_euclidean,0.9994866977207341,96,96
124,cov_EllipticEnvelope,pdist_cityblock,0.9942803675897905,96,96
125,cov_EllipticEnvelope,pdist_cosine,0.9985950641619789,96,96
126,cov_EllipticEnvelope,pdist_chebyshev,0.1228670063906433,96,96
127,cov_EllipticEnvelope,pdist_canberra,0.7121015119281103,96,96
128,cov_EllipticEnvelope,pdist_braycurtis,0.9851373765001571,96,96
129,cov_EllipticEnvelope,di_gaussian,0.07979351511999,96,96
130,cov_EllipticEnvelope,di_kozachenko,0.0663915343696384,96,96
131,cov_EllipticEnvelope,di_kernel_W-0.5,0.009363399088946955,96,96
132,cov_EllipticEnvelope,mi_gaussian,0.10720831467584421,96,96
133,cov_EllipticEnvelope,mi_kraskov_NN-4,0.013217390282759922,96,96
134,cov_EllipticEnvelope,mi_kraskov_NN-4_DCE,0.0073488001710021456,96,96
135,cov_EllipticEnvelope,mi_kernel_W-0.25,0.05182753301090859,96,96
136,cov_EllipticEnvelope,tlmi_gaussian,0.056013395001880295,96,96
137,cov_EllipticEnvelope,tlmi_kraskov_NN-4,0.035739565027017806,96,96
138,cov_EllipticEnvelope,tlmi_kraskov_NN-4_DCE,0.026505695721730005,96,96
139,cov_EllipticEnvelope,tlmi_kernel_W-0.25,0.028189923832234398,96,96
140,cov_EllipticEnvelope,te_kraskov_NN-4_k-max-10_tau-max-4,0.028915969498191862,96,96
141,cov_EllipticEnvelope,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.05325253429163401,96,96
142,cov_EllipticEnvelope,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.02040880523366051,96,96
143,cov_EllipticEnvelope,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.028736674840316723,96,96
144,cov_EllipticEnvelope,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.023948606633621528,96,96
145,cov_EllipticEnvelope,te_kernel_W-0.25_k-1,0.05292772312957872,96,96
146,cov_EllipticEnvelope,gc_gaussian_k-max-10_tau-max-2,0.01997128766205225,96,96
147,cov_EllipticEnvelope,gc_gaussian_k-1_kt-1_l-1_lt-1,0.054671845653409656,96,96
148,cov_EllipticEnvelope,te_symbolic_k-1_kt-1_l-1_lt-1,0.054671845653409656,96,96
149,cov_EllipticEnvelope,te_symbolic_k-10_kt-1_l-1_lt-1,0.04767221367060959,96,96
150,cov_EllipticEnvelope,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10231343206702315,96,96
151,cov_EllipticEnvelope,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08696540596608482,96,96
152,cov_EllipticEnvelope,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.10757479012632704,96,96
153,cov_EllipticEnvelope,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.13863414685126796,96,96
154,cov_EllipticEnvelope,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.16050242179258906,96,96
155,cov_EllipticEnvelope,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10766103940353716,96,96
156,cov_EllipticEnvelope,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.00990169351380675,96,96
157,cov_EllipticEnvelope,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.02761027400979471,96,96
158,cov_EllipticEnvelope,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.022514336451247757,96,96
159,cov_EllipticEnvelope,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0901077690623775,96,96
160,cov_EllipticEnvelope,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0312682633636201,96,96
161,cov_EllipticEnvelope,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.0525017417734257,96,96
162,cov_EllipticEnvelope,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10416666666666667,96,96
163,cov_EllipticEnvelope,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.125,96,96
164,cov_EllipticEnvelope,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.10416666666666667,96,96
165,cov_GraphicalLasso,cov_GraphicalLassoCV,0.04904238738927913,96,96
166,cov_GraphicalLasso,cov_LedoitWolf,0.0253521882248543,96,96
167,cov_GraphicalLasso,cov_MinCovDet,0.9933946090716188,96,96
168,cov_GraphicalLasso,cov_OAS,0.9993696645064162,96,96
169,cov_GraphicalLasso,cov_ShrunkCovariance,0.997165614021021,96,96
170,cov_GraphicalLasso,cov-sq_EmpiricalCovariance,0.0868668221840202,96,96
171,cov_GraphicalLasso,cov-sq_EllipticEnvelope,0.07972687055508657,96,96
172,cov_GraphicalLasso,cov-sq_GraphicalLasso,0.09000822831311961,96,96
173,cov_GraphicalLasso,cov-sq_GraphicalLassoCV,0.08312581533762209,96,96
174,cov_GraphicalLasso,cov-sq_LedoitWolf,0.019507900863741767,96,96
175,cov_GraphicalLasso,cov-sq_MinCovDet,0.09101936934597293,96,96
176,cov_GraphicalLasso,cov-sq_OAS,0.27385593800631214,96,96
177,cov_GraphicalLasso,cov-sq_ShrunkCovariance,0.0868668221840202,96,96
178,cov_GraphicalLasso,prec_EmpiricalCovariance,0.857098806799937,96,96
