feature_index,SPI-1,SPI-2,ks_statistic,n_CML,n_VAR(1)
110,cov_EmpiricalCovariance,pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.06941562932226833,241,240
111,cov_EmpiricalCovariance,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.23078157215897033,241,240
112,cov_EmpiricalCovariance,pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.017690979819412755,241,240
113,cov_EmpiricalCovariance,pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.047736577567044386,241,240
114,cov_EmpiricalCovariance,wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06436721991701244,241,240
115,cov_EmpiricalCovariance,wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.09434647302904564,241,240
116,cov_EmpiricalCovariance,wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.05864453665283541,241,240
117,cov_EmpiricalCovariance,wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.22945204696698301,241,240
118,cov_EmpiricalCovariance,wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.019801617296538482,241,240
119,cov_EmpiricalCovariance,wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.04521711585590957,241,240
120,cov_EmpiricalCovariance,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.23254222701691762,241,240
121,cov_EmpiricalCovariance,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2090343161986129,241,240
122,cov_EmpiricalCovariance,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.19279801777041827,241,240
123,cov_EmpiricalCovariance,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.13644536652835407,241,240
124,cov_EmpiricalCovariance,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.34806569630953454,241,240
125,cov_EmpiricalCovariance,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2690317162669974,241,240
126,cov_EmpiricalCovariance,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.23425473420422593,241,240
