feature_index,SPI-1,SPI-2,ks_statistic,n_MackeyGlass,n_VAR(1)-Unidirectional
120,cov_EllipticEnvelope,xcorr-sq_mean_sig-True,0.22544876897606664,96,96
121,cov_EllipticEnvelope,xcorr_mean_sig-False,0.24992705989998112,96,96
122,cov_EllipticEnvelope,xcorr-sq_mean_sig-False,0.2909613770779953,96,96
123,cov_EllipticEnvelope,pdist_euclidean,0.8939725882020588,96,96
124,cov_EllipticEnvelope,pdist_cityblock,0.8959824640301226,96,96
125,cov_EllipticEnvelope,pdist_cosine,0.8939725882020588,96,96
126,cov_EllipticEnvelope,pdist_chebyshev,0.18535442760705642,96,96
127,cov_EllipticEnvelope,pdist_canberra,0.7890297267335968,96,96
128,cov_EllipticEnvelope,pdist_braycurtis,0.9133540426249459,96,96
129,cov_EllipticEnvelope,di_gaussian,1.0,96,96
130,cov_EllipticEnvelope,di_kozachenko,0.2504491633095046,96,96
131,cov_EllipticEnvelope,di_kernel_W-0.5,0.5501483774169539,96,96
132,cov_EllipticEnvelope,mi_gaussian,0.3028699141699014,96,96
133,cov_EllipticEnvelope,mi_kraskov_NN-4,0.10890868829495219,96,96
134,cov_EllipticEnvelope,mi_kraskov_NN-4_DCE,0.12673328287268673,96,96
135,cov_EllipticEnvelope,mi_kernel_W-0.25,0.20091812973880682,96,96
136,cov_EllipticEnvelope,tlmi_gaussian,0.10231036295131773,96,96
137,cov_EllipticEnvelope,tlmi_kraskov_NN-4,0.3597575627075724,96,96
138,cov_EllipticEnvelope,tlmi_kraskov_NN-4_DCE,0.30043453012315435,96,96
139,cov_EllipticEnvelope,tlmi_kernel_W-0.25,0.10707784868378845,96,96
140,cov_EllipticEnvelope,te_kraskov_NN-4_k-max-10_tau-max-4,0.20073530378920013,96,96
141,cov_EllipticEnvelope,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.4987822428112626,96,96
142,cov_EllipticEnvelope,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.4645462240752346,96,96
143,cov_EllipticEnvelope,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.4723900333148179,96,96
144,cov_EllipticEnvelope,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.3008094865800766,96,96
145,cov_EllipticEnvelope,te_kernel_W-0.25_k-1,0.08789036324264776,96,96
146,cov_EllipticEnvelope,gc_gaussian_k-max-10_tau-max-2,1.0,96,96
147,cov_EllipticEnvelope,gc_gaussian_k-1_kt-1_l-1_lt-1,0.18532289635291377,96,96
148,cov_EllipticEnvelope,te_symbolic_k-1_kt-1_l-1_lt-1,0.18532289635291377,96,96
149,cov_EllipticEnvelope,te_symbolic_k-10_kt-1_l-1_lt-1,1.0,96,96
150,cov_EllipticEnvelope,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.125,96,96
151,cov_EllipticEnvelope,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.16666666666666666,96,96
152,cov_EllipticEnvelope,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.07291666666666667,96,96
153,cov_EllipticEnvelope,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.1180980811779514,96,96
154,cov_EllipticEnvelope,psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.10889109690782028,96,96
155,cov_EllipticEnvelope,psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.13450204206541916,96,96
156,cov_EllipticEnvelope,psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.1528634151471805,96,96
157,cov_EllipticEnvelope,psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.11056061770818448,96,96
158,cov_EllipticEnvelope,psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.17116103662784898,96,96
159,cov_EllipticEnvelope,pec,0.10946142718846193,96,96
160,cov_EllipticEnvelope,pec_orth,0.35401181497521594,96,96
161,cov_EllipticEnvelope,pec_log,0.11889899834800244,96,96
162,cov_EllipticEnvelope,pec_orth_log,0.30633585205429187,96,96
163,cov_EllipticEnvelope,pec_orth_abs,0.35555376424963664,96,96
164,cov_EllipticEnvelope,pec_orth_log_abs,0.20049075233724814,96,96
165,cov_GraphicalLasso,cov_GraphicalLassoCV,0.6897235535625645,96,96
166,cov_GraphicalLasso,cov_LedoitWolf,0.9620132798053334,96,96
167,cov_GraphicalLasso,cov_MinCovDet,0.9323128490460841,96,96
168,cov_GraphicalLasso,cov_OAS,0.9620132798053334,96,96
169,cov_GraphicalLasso,cov_ShrunkCovariance,0.9620132798053334,96,96
170,cov_GraphicalLasso,cov-sq_EmpiricalCovariance,0.2618092443904133,96,96
171,cov_GraphicalLasso,cov-sq_EllipticEnvelope,0.5316337614354856,96,96
172,cov_GraphicalLasso,cov-sq_GraphicalLasso,0.27846043645527874,96,96
173,cov_GraphicalLasso,cov-sq_GraphicalLassoCV,0.3103975948479443,96,96
174,cov_GraphicalLasso,cov-sq_LedoitWolf,0.2618092443904133,96,96
175,cov_GraphicalLasso,cov-sq_MinCovDet,0.5671495650062855,96,96
176,cov_GraphicalLasso,cov-sq_OAS,0.2618092443904133,96,96
177,cov_GraphicalLasso,cov-sq_ShrunkCovariance,0.2618092443904133,96,96
178,cov_GraphicalLasso,prec_EmpiricalCovariance,0.9971363050446446,96,96
179,cov_GraphicalLasso,prec_EllipticEnvelope,0.9976562993909608,96,96
180,cov_GraphicalLasso,prec_GraphicalLasso,0.8777067234360192,96,96
181,cov_GraphicalLasso,prec_GraphicalLassoCV,0.739347359737302,96,96
182,cov_GraphicalLasso,prec_LedoitWolf,0.8809369809741333,96,96
183,cov_GraphicalLasso,prec_MinCovDet,0.998006341133487,96,96
184,cov_GraphicalLasso,prec_OAS,0.8653252928497299,96,96
185,cov_GraphicalLasso,prec_ShrunkCovariance,0.8122898311131884,96,96
186,cov_GraphicalLasso,prec-sq_EmpiricalCovariance,0.23950194580673048,96,96
187,cov_GraphicalLasso,prec-sq_EllipticEnvelope,0.33854125185868955,96,96
188,cov_GraphicalLasso,prec-sq_GraphicalLasso,0.23286878788315368,96,96
189,cov_GraphicalLasso,prec-sq_GraphicalLassoCV,0.28188946884915667,96,96
190,cov_GraphicalLasso,prec-sq_LedoitWolf,0.20238106895259397,96,96
191,cov_GraphicalLasso,prec-sq_MinCovDet,0.3515443746015118,96,96
192,cov_GraphicalLasso,prec-sq_OAS,0.1965702971434507,96,96
193,cov_GraphicalLasso,prec-sq_ShrunkCovariance,0.1591717346772161,96,96
194,cov_GraphicalLasso,spearmanr-sq,0.2630261404833456,96,96
195,cov_GraphicalLasso,spearmanr,0.9364664050246975,96,96
196,cov_GraphicalLasso,kendalltau-sq,0.2644185492873403,96,96
197,cov_GraphicalLasso,kendalltau,0.938493169431477,96,96
198,cov_GraphicalLasso,xcorr_max_sig-True,0.21916044449852967,96,96
199,cov_GraphicalLasso,xcorr-sq_max_sig-True,0.2129772611007231,96,96
200,cov_GraphicalLasso,xcorr_mean_sig-True,0.19322893601879243,96,96
201,cov_GraphicalLasso,xcorr-sq_mean_sig-True,0.4255639811504756,96,96
202,cov_GraphicalLasso,xcorr_mean_sig-False,0.18798114152935133,96,96
203,cov_GraphicalLasso,xcorr-sq_mean_sig-False,0.4862189094201348,96,96
204,cov_GraphicalLasso,pdist_euclidean,0.9620132798053334,96,96
205,cov_GraphicalLasso,pdist_cityblock,0.8972371433975245,96,96
206,cov_GraphicalLasso,pdist_cosine,0.9620132798053334,96,96
207,cov_GraphicalLasso,pdist_chebyshev,0.16875146803946872,96,96
208,cov_GraphicalLasso,pdist_canberra,0.7472100895378033,96,96
209,cov_GraphicalLasso,pdist_braycurtis,0.927466906598954,96,96
210,cov_GraphicalLasso,di_gaussian,1.0,96,96
211,cov_GraphicalLasso,di_kozachenko,0.18929958047500495,96,96
212,cov_GraphicalLasso,di_kernel_W-0.5,0.37098958113666436,96,96
213,cov_GraphicalLasso,mi_gaussian,0.2618092443904133,96,96
214,cov_GraphicalLasso,mi_kraskov_NN-4,0.14473124830529893,96,96
215,cov_GraphicalLasso,mi_kraskov_NN-4_DCE,0.17082948340819665,96,96
216,cov_GraphicalLasso,mi_kernel_W-0.25,0.18541990578957407,96,96
217,cov_GraphicalLasso,tlmi_gaussian,0.24024472073040737,96,96
218,cov_GraphicalLasso,tlmi_kraskov_NN-4,0.27847858476505727,96,96
219,cov_GraphicalLasso,tlmi_kraskov_NN-4_DCE,0.24426567646298203,96,96
220,cov_GraphicalLasso,tlmi_kernel_W-0.25,0.17231390457904283,96,96
221,cov_GraphicalLasso,te_kraskov_NN-4_k-max-10_tau-max-4,0.4691754334758582,96,96
222,cov_GraphicalLasso,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.38693564100448075,96,96
223,cov_GraphicalLasso,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.32343484397585975,96,96
224,cov_GraphicalLasso,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.3467601812600874,96,96
225,cov_GraphicalLasso,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.2346851720064591,96,96
226,cov_GraphicalLasso,te_kernel_W-0.25_k-1,0.21511951489906028,96,96
227,cov_GraphicalLasso,gc_gaussian_k-max-10_tau-max-2,1.0,96,96
228,cov_GraphicalLasso,gc_gaussian_k-1_kt-1_l-1_lt-1,0.1543728004744911,96,96
229,cov_GraphicalLasso,te_symbolic_k-1_kt-1_l-1_lt-1,0.1543728004744911,96,96
230,cov_GraphicalLasso,te_symbolic_k-10_kt-1_l-1_lt-1,1.0,96,96
231,cov_GraphicalLasso,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.125,96,96
232,cov_GraphicalLasso,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.125,96,96
233,cov_GraphicalLasso,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.125,96,96
234,cov_GraphicalLasso,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.07453310111071465,96,96
235,cov_GraphicalLasso,psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.060617772454990004,96,96
236,cov_GraphicalLasso,psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.08137702978143033,96,96
237,cov_GraphicalLasso,psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.05912251032136598,96,96
238,cov_GraphicalLasso,psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.06540108449619361,96,96
239,cov_GraphicalLasso,psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.054930159529867906,96,96
240,cov_GraphicalLasso,pec,0.16261078840749577,96,96
241,cov_GraphicalLasso,pec_orth,0.27336206717887,96,96
242,cov_GraphicalLasso,pec_log,0.187556822215331,96,96
243,cov_GraphicalLasso,pec_orth_log,0.26266469374119017,96,96
244,cov_GraphicalLasso,pec_orth_abs,0.2627810394331864,96,96
245,cov_GraphicalLasso,pec_orth_log_abs,0.1593557692013207,96,96
246,cov_GraphicalLassoCV,cov_LedoitWolf,0.8198504602359341,96,96
247,cov_GraphicalLassoCV,cov_MinCovDet,0.6342600408905033,96,96
248,cov_GraphicalLassoCV,cov_OAS,0.8198504602359341,96,96
249,cov_GraphicalLassoCV,cov_ShrunkCovariance,0.8198504602359341,96,96
250,cov_GraphicalLassoCV,cov-sq_EmpiricalCovariance,0.20959772969206858,96,96
251,cov_GraphicalLassoCV,cov-sq_EllipticEnvelope,0.2939310121095571,96,96
252,cov_GraphicalLassoCV,cov-sq_GraphicalLasso,0.26744117989908167,96,96
253,cov_GraphicalLassoCV,cov-sq_GraphicalLassoCV,0.09407480989902561,96,96
254,cov_GraphicalLassoCV,cov-sq_LedoitWolf,0.20959772969206858,96,96
255,cov_GraphicalLassoCV,cov-sq_MinCovDet,0.3039337794606749,96,96
256,cov_GraphicalLassoCV,cov-sq_OAS,0.20959772969206858,96,96
257,cov_GraphicalLassoCV,cov-sq_ShrunkCovariance,0.20959772969206858,96,96
258,cov_GraphicalLassoCV,prec_EmpiricalCovariance,0.9031654364650586,96,96
259,cov_GraphicalLassoCV,prec_EllipticEnvelope,0.9001511551410862,96,96
260,cov_GraphicalLassoCV,prec_GraphicalLasso,0.5795234188837687,96,96
261,cov_GraphicalLassoCV,prec_GraphicalLassoCV,0.12357179778280586,96,96
262,cov_GraphicalLassoCV,prec_LedoitWolf,0.40422210444949563,96,96
263,cov_GraphicalLassoCV,prec_MinCovDet,0.9063248472941309,96,96
264,cov_GraphicalLassoCV,prec_OAS,0.3707572515312164,96,96
265,cov_GraphicalLassoCV,prec_ShrunkCovariance,0.09693950410687174,96,96
