path,class,instance,beta_tag,beta,r_rho,r_mi,rho_mi,r_mi_dce,rho_mi_dce,mi_median_abs_change
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I32_beta-5,iter2_LM,32,beta-5,5.0,0.21485030906888322,0.42934833457964483,0.8700139213659247,0.4301928312416942,0.8702277409694789,0.01130856789045609
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I32_beta-pi,iter2_LM,32,beta-pi,3.141592653589793,0.11224230754871517,0.2843820203201439,0.863820806357833,0.2852181717673414,0.8639581373179547,0.012561772289969575
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I33_beta-2pi,iter2_LM,33,beta-2pi,6.283185307179586,0.2361762268718883,0.4269693598213475,0.820205554775693,0.4276916453057171,0.8203943633900515,0.012517183653193875
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I33_beta-5,iter2_LM,33,beta-5,5.0,0.1881624668273034,0.36806219940582596,0.8250612412343052,0.3688836807568791,0.8252243189604548,0.012559987687974061
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I33_beta-pi,iter2_LM,33,beta-pi,3.141592653589793,0.1957499408809542,0.28134232834846656,0.8607343369294583,0.2821984546081191,0.8608289067520805,0.013448834664959275
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I34_beta-2pi,iter2_LM,34,beta-2pi,6.283185307179586,0.23510094317366304,0.44761922487100475,0.8235108630202949,0.4479754896209829,0.8239965032844567,0.012034192525464782
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I34_beta-5,iter2_LM,34,beta-5,5.0,0.18364647338100532,0.38573593271841805,0.8244788166020368,0.38640264733400004,0.8249034340347886,0.012378361904655577
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I34_beta-pi,iter2_LM,34,beta-pi,3.141592653589793,0.18629654858298078,0.2888090036961107,0.8410915871726257,0.2888307801744123,0.841585699512465,0.013494684798847523
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I35_beta-2pi,iter2_LM,35,beta-2pi,6.283185307179586,0.2661125865152184,0.47148784947371314,0.7965829447377567,0.4719932489709141,0.79775712409638,0.01221711713155793
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I35_beta-5,iter2_LM,35,beta-5,5.0,0.2114833024661232,0.4105093523206289,0.8073785730516184,0.4119497404522206,0.8081265391009043,0.012632308956760596
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I35_beta-pi,iter2_LM,35,beta-pi,3.141592653589793,0.1496667875055337,0.2846835423471705,0.8671789827962737,0.2853954840171388,0.8674205359970397,0.013876559715730874
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I36_beta-2pi,iter2_LM,36,beta-2pi,6.283185307179586,0.3037479269102277,0.488927227075196,0.8484668522960666,0.48915524391925236,0.8489701526121342,0.012696782497264358
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I36_beta-5,iter2_LM,36,beta-5,5.0,0.27770489298894674,0.4438597901604299,0.8414405967392985,0.4442274572020218,0.8418801649907689,0.012942915147791112
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I36_beta-pi,iter2_LM,36,beta-pi,3.141592653589793,0.34816721313562277,0.39545584848424514,0.8218041385135838,0.3964435390862965,0.8222496554226225,0.01353807970557197
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I37_beta-2pi,iter2_LM,37,beta-2pi,6.283185307179586,0.26520329704052564,0.4666097743635931,0.8440926233237767,0.4676778375258201,0.8447875226392164,0.010208115869251522
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I37_beta-5,iter2_LM,37,beta-5,5.0,0.2058177345898138,0.4059996184715729,0.8448137977690929,0.4075756223149153,0.845204580995015,0.010756085577924068
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I37_beta-pi,iter2_LM,37,beta-pi,3.141592653589793,0.16243326907651487,0.28398458804023324,0.8530050861141322,0.28593044012509405,0.8528630272980448,0.011230757247792322
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I38_beta-2pi,iter2_LM,38,beta-2pi,6.283185307179586,0.22852969230478842,0.4435684351641042,0.8259459593557965,0.44470337799931187,0.826111344190471,0.010209488013253942
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I38_beta-5,iter2_LM,38,beta-5,5.0,0.18037482040685124,0.3828293023283782,0.821055349508011,0.38362110529899585,0.8211639057649422,0.011065224112357441
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I38_beta-pi,iter2_LM,38,beta-pi,3.141592653589793,0.16695660821476918,0.27230838500961524,0.8294837825063969,0.2739761740075304,0.8292629582918128,0.011142505689331728
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I39_beta-2pi,iter2_LM,39,beta-2pi,6.283185307179586,0.27902019904075737,0.43911611635708236,0.8587042908546533,0.43949470990729217,0.8591145344729756,0.009896917468100064
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I39_beta-5,iter2_LM,39,beta-5,5.0,0.22688185072816625,0.3888238467216283,0.8771742457346042,0.38907835210626024,0.8775051782054368,0.00998143529393003
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I39_beta-pi,iter2_LM,39,beta-pi,3.141592653589793,0.21475373504886094,0.3030470577964271,0.868066135267303,0.3040247182128539,0.8678811568512558,0.010900365353930574
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I3_beta-2pi,iter2_LM,3,beta-2pi,6.283185307179586,0.19997411278566046,0.41264897804846773,0.8389398243089747,0.41285835004966315,0.8391825364480623,0.011365585077919516
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I3_beta-5,iter2_LM,3,beta-5,5.0,0.1493902618147013,0.3502739455535599,0.831663458698568,0.35081936158838656,0.8318067792450453,0.011809180574301692
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I3_beta-pi,iter2_LM,3,beta-pi,3.141592653589793,0.11680223340652443,0.2311956355835834,0.8300652987324763,0.2318462608247461,0.8302335523755049,0.012777840785194616
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I40_beta-2pi,iter2_LM,40,beta-2pi,6.283185307179586,0.255209582819567,0.4297073827118309,0.7882659063050101,0.4304627029602338,0.7890939063375332,0.009513208980204801
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I40_beta-5,iter2_LM,40,beta-5,5.0,0.21224849818612815,0.3731530005370837,0.8154835519769987,0.3735141698250588,0.8160830141145097,0.010088834923885681
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I40_beta-pi,iter2_LM,40,beta-pi,3.141592653589793,0.2400136946350303,0.2980186769117416,0.834896514017889,0.29848745461099313,0.8348800511966058,0.011112291237330041
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I41_beta-2pi,iter2_LM,41,beta-2pi,6.283185307179586,0.2559628597783165,0.446543731322785,0.8530473595925793,0.4468282521411706,0.8532861353198177,0.01060689925833369
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I41_beta-5,iter2_LM,41,beta-5,5.0,0.20333104377074213,0.389443283248672,0.8479684493797525,0.3900216585304268,0.8481332238562332,0.010787931446610166
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I41_beta-pi,iter2_LM,41,beta-pi,3.141592653589793,0.18289978262810538,0.29469914585281637,0.8653695933520472,0.29529603173939245,0.8654490915884523,0.011264583547658802
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I42_beta-2pi,iter2_LM,42,beta-2pi,6.283185307179586,0.2479780458284781,0.46892506477790313,0.8596621764888551,0.4699028657536108,0.8596720487974853,0.009979225756256316
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I42_beta-5,iter2_LM,42,beta-5,5.0,0.1868802637281786,0.4088196587911928,0.8597635335132312,0.40955254558544374,0.8599039241573128,0.010441617169800299
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I42_beta-pi,iter2_LM,42,beta-pi,3.141592653589793,0.15052831156957527,0.286779608472167,0.8805811286330834,0.2882275049380365,0.8804525113099912,0.010967930431785788
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I43_beta-2pi,iter2_LM,43,beta-2pi,6.283185307179586,0.2721944856589513,0.5184281148144991,0.7790027851666149,0.5193063069783256,0.7796474344391929,0.010876498413022073
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I43_beta-5,iter2_LM,43,beta-5,5.0,0.1987422805544931,0.4526719881351444,0.7630658378991965,0.4531889702176312,0.7638264159168362,0.011238334285263996
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I43_beta-pi,iter2_LM,43,beta-pi,3.141592653589793,0.1320957289022634,0.3034520704353431,0.8659531831872362,0.3045227989113256,0.8661303692869218,0.012269478064475425
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I44_beta-2pi,iter2_LM,44,beta-2pi,6.283185307179586,0.3133712270318037,0.49137714654820447,0.9058171716511476,0.4917481669024731,0.9060860525193798,0.01076365631770626
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I44_beta-5,iter2_LM,44,beta-5,5.0,0.2643312079497394,0.44915219092809533,0.895793292970641,0.4497562436766669,0.8959164737641216,0.011107577280413228
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I44_beta-pi,iter2_LM,44,beta-pi,3.141592653589793,0.22502637216500865,0.36733622173400626,0.8793649561660654,0.3678655419343417,0.8796077436775646,0.01261373990649517
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I45_beta-2pi,iter2_LM,45,beta-2pi,6.283185307179586,0.29485632570146925,0.48584415173746254,0.8368934271837677,0.48690551211557437,0.8374235655101256,0.013040265155352948
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I45_beta-5,iter2_LM,45,beta-5,5.0,0.2401011072647038,0.4366866661242067,0.8186682501141951,0.437440407280705,0.8193582220421367,0.013592357752667095
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I45_beta-pi,iter2_LM,45,beta-pi,3.141592653589793,0.2329668607175064,0.3462884146440736,0.7976296527131896,0.3480375066710442,0.7980421768714998,0.014625132513224948
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I46_beta-2pi,iter2_LM,46,beta-2pi,6.283185307179586,0.24576911742827254,0.5587826699960466,0.8271304245441509,0.5586614335372618,0.8281022813671907,0.010278416072107
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I46_beta-5,iter2_LM,46,beta-5,5.0,0.1881080885507251,0.4907012469654447,0.827367059696305,0.49133606921813144,0.8279694917097951,0.010847168965019804
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I46_beta-pi,iter2_LM,46,beta-pi,3.141592653589793,0.15353572659965994,0.35544630132776506,0.8671040065401572,0.35685861592446305,0.8669824856805778,0.011534885561017116
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I47_beta-2pi,iter2_LM,47,beta-2pi,6.283185307179586,0.25295548126229095,0.4866203544310453,0.8059378552603587,0.4871484583982821,0.8068506700491174,0.012083249230135262
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I47_beta-5,iter2_LM,47,beta-5,5.0,0.19991522264638192,0.42756318500371265,0.8047218247020533,0.42835673621198384,0.80526597002224,0.012540596897022471
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I47_beta-pi,iter2_LM,47,beta-pi,3.141592653589793,0.19532981716004447,0.3199115138275632,0.8421698360079094,0.32159740698309164,0.8421103556870673,0.013474903075362032
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I48_beta-2pi,iter2_LM,48,beta-2pi,6.283185307179586,0.27407576953456136,0.48974766355500754,0.8581097773429224,0.4909803951199001,0.8587636483487336,0.010522730190965834
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I48_beta-5,iter2_LM,48,beta-5,5.0,0.21093384926922523,0.4334892745573122,0.8638710599127953,0.43508230033432477,0.864346793858045,0.010790028201020707
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I48_beta-pi,iter2_LM,48,beta-pi,3.141592653589793,0.15057644239195833,0.30566841783525245,0.9145792667680135,0.30695949627791014,0.9144744489583536,0.012939922366566048
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I49_beta-2pi,iter2_LM,49,beta-2pi,6.283185307179586,0.32205269353099475,0.48851672112956257,0.9076868510489284,0.4886571768019182,0.9078090555755924,0.014397777665404732
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I49_beta-5,iter2_LM,49,beta-5,5.0,0.28192748467003526,0.4577497163654518,0.9025985030022562,0.4576390987859768,0.9027311498948488,0.015414936561587655
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I49_beta-pi,iter2_LM,49,beta-pi,3.141592653589793,0.28484923064280493,0.4190794402191944,0.8778008250753957,0.41979380385519965,0.8776270668044858,0.01657011341369863
/Users/wedi0306/Code/mts-spi-study-cluster/data/cases/r-rho-mi-260924/data/iter2_LM/M32_T2000_I4_beta-2pi,iter2_LM,4,beta-2pi,6.283185307179586,0.33838347171316013,0.4695816617129194,0.8379834019120126,0.4696579868148239,0.8386553938000856,0.012321303907619985
