class,M,T,I,n_pcs_95
frozen-chaos,10,1000,2,2
frozen-chaos,10,1000,3,1
frozen-chaos,10,1000,4,1
frozen-chaos,10,1000,5,2
frozen-chaos,10,1000,6,1
frozen-chaos,10,1000,7,1
frozen-chaos,10,1000,8,1
frozen-chaos,10,1000,9,1
frozen-chaos,10,2000,0,2
frozen-chaos,10,2000,1,1
frozen-chaos,10,2000,2,2
frozen-chaos,10,2000,3,2
frozen-chaos,10,2000,4,1
frozen-chaos,10,2000,5,2
frozen-chaos,10,2000,6,2
frozen-chaos,10,2000,7,1
frozen-chaos,10,2000,8,1
frozen-chaos,10,2000,9,1
frozen-chaos,20,500,0,1
frozen-chaos,20,500,1,2
frozen-chaos,20,500,2,1
frozen-chaos,20,500,3,1
frozen-chaos,20,500,4,1
frozen-chaos,20,500,5,2
frozen-chaos,20,500,6,2
frozen-chaos,20,500,7,2
frozen-chaos,20,500,8,1
frozen-chaos,20,500,9,1
frozen-chaos,20,1000,0,2
frozen-chaos,20,1000,1,1
frozen-chaos,20,1000,2,1
frozen-chaos,20,1000,3,2
frozen-chaos,20,1000,4,1
frozen-chaos,20,1000,5,1
frozen-chaos,20,1000,6,1
frozen-chaos,20,1000,7,2
frozen-chaos,20,1000,8,1
frozen-chaos,20,1000,9,2
frozen-chaos,20,2000,0,2
frozen-chaos,20,2000,1,1
frozen-chaos,20,2000,2,2
frozen-chaos,20,2000,3,1
frozen-chaos,20,2000,4,1
frozen-chaos,20,2000,5,2
frozen-chaos,20,2000,6,2
frozen-chaos,20,2000,7,2
frozen-chaos,20,2000,8,2
frozen-chaos,20,2000,9,2
pattern-selection,5,500,0,2
pattern-selection,5,500,1,1
pattern-selection,5,500,2,1
pattern-selection,5,500,3,3
pattern-selection,5,500,4,3
pattern-selection,5,500,5,3
pattern-selection,5,500,6,2
pattern-selection,5,500,7,3
pattern-selection,5,500,8,3
pattern-selection,5,500,9,2
pattern-selection,5,1000,0,3
pattern-selection,5,1000,1,2
pattern-selection,5,1000,2,1
pattern-selection,5,1000,3,3
pattern-selection,5,1000,4,2
pattern-selection,5,1000,5,2
pattern-selection,5,1000,6,3
pattern-selection,5,1000,7,1
pattern-selection,5,1000,8,2
pattern-selection,5,1000,9,1
pattern-selection,5,2000,0,1
pattern-selection,5,2000,1,1
pattern-selection,5,2000,2,2
pattern-selection,5,2000,3,2
pattern-selection,5,2000,4,3
pattern-selection,5,2000,5,3
pattern-selection,5,2000,6,3
pattern-selection,5,2000,7,3
pattern-selection,5,2000,8,1
pattern-selection,5,2000,9,2
pattern-selection,10,500,0,2
pattern-selection,10,500,1,4
pattern-selection,10,500,2,5
pattern-selection,10,500,3,1
pattern-selection,10,500,4,3
pattern-selection,10,500,5,2
pattern-selection,10,500,6,2
pattern-selection,10,500,7,5
pattern-selection,10,500,8,2
pattern-selection,10,500,9,5
pattern-selection,10,1000,0,5
pattern-selection,10,1000,1,4
pattern-selection,10,1000,2,4
pattern-selection,10,1000,3,5
pattern-selection,10,1000,4,3
pattern-selection,10,1000,5,5
pattern-selection,10,1000,6,5
pattern-selection,10,1000,7,5
pattern-selection,10,1000,8,4
pattern-selection,10,1000,9,2
pattern-selection,10,2000,0,5
pattern-selection,10,2000,1,1
pattern-selection,10,2000,2,4
pattern-selection,10,2000,3,3
pattern-selection,10,2000,4,5
pattern-selection,10,2000,5,5
pattern-selection,10,2000,6,3
pattern-selection,10,2000,7,3
pattern-selection,10,2000,8,1
pattern-selection,10,2000,9,1
pattern-selection,20,500,0,2
pattern-selection,20,500,1,7
pattern-selection,20,500,2,4
pattern-selection,20,500,3,2
pattern-selection,20,500,4,7
pattern-selection,20,500,5,2
pattern-selection,20,500,6,3
pattern-selection,20,500,7,2
pattern-selection,20,500,8,8
pattern-selection,20,500,9,9
pattern-selection,20,1000,0,2
pattern-selection,20,1000,1,3
pattern-selection,20,1000,2,6
pattern-selection,20,1000,3,4
pattern-selection,20,1000,4,3
pattern-selection,20,1000,5,4
pattern-selection,20,1000,6,9
pattern-selection,20,1000,7,7
pattern-selection,20,1000,8,3
pattern-selection,20,1000,9,8
pattern-selection,20,2000,0,2
pattern-selection,20,2000,1,6
pattern-selection,20,2000,2,3
pattern-selection,20,2000,3,9
pattern-selection,20,2000,4,9
pattern-selection,20,2000,5,7
pattern-selection,20,2000,6,9
pattern-selection,20,2000,7,5
pattern-selection,20,2000,8,5
pattern-selection,20,2000,9,8
brownian-defect,5,500,0,4
brownian-defect,5,500,1,1
brownian-defect,5,500,2,1
brownian-defect,5,500,3,1
brownian-defect,5,500,4,4
brownian-defect,5,500,5,1
brownian-defect,5,500,6,1
brownian-defect,5,500,7,3
brownian-defect,5,500,8,1
brownian-defect,5,500,9,1
brownian-defect,5,1000,0,1
brownian-defect,5,1000,1,1
brownian-defect,5,1000,2,4
brownian-defect,5,1000,3,5
brownian-defect,5,1000,4,3
brownian-defect,5,1000,5,1
brownian-defect,5,1000,6,2
brownian-defect,5,1000,7,1
brownian-defect,5,1000,8,1
brownian-defect,5,1000,9,5
brownian-defect,5,2000,0,3
brownian-defect,5,2000,1,1
brownian-defect,5,2000,2,1
brownian-defect,5,2000,3,2
brownian-defect,5,2000,4,1
brownian-defect,5,2000,5,1
brownian-defect,5,2000,6,1
brownian-defect,5,2000,7,1
brownian-defect,5,2000,8,4
brownian-defect,5,2000,9,4
brownian-defect,10,500,0,4
brownian-defect,10,500,1,2
brownian-defect,10,500,2,1
brownian-defect,10,500,3,1
brownian-defect,10,500,4,6
brownian-defect,10,500,5,1
brownian-defect,10,500,6,4
brownian-defect,10,500,7,3
brownian-defect,10,500,8,3
brownian-defect,10,500,9,5
brownian-defect,10,1000,0,7
brownian-defect,10,1000,1,1
brownian-defect,10,1000,2,1
brownian-defect,10,1000,3,3
brownian-defect,10,1000,4,1
brownian-defect,10,1000,5,4
brownian-defect,10,1000,6,6
brownian-defect,10,1000,7,4
brownian-defect,10,1000,8,1
brownian-defect,10,1000,9,4
brownian-defect,10,2000,0,1
brownian-defect,10,2000,1,6
brownian-defect,10,2000,2,1
brownian-defect,10,2000,3,7
brownian-defect,10,2000,4,1
brownian-defect,10,2000,5,3
brownian-defect,10,2000,6,1
brownian-defect,10,2000,7,1
brownian-defect,10,2000,8,5
brownian-defect,10,2000,9,1
brownian-defect,20,500,0,4
brownian-defect,20,500,1,8
brownian-defect,20,500,2,6
brownian-defect,20,500,3,5
brownian-defect,20,500,4,1
brownian-defect,20,500,5,5
brownian-defect,20,500,6,5
brownian-defect,20,500,7,8
brownian-defect,20,500,8,1
brownian-defect,20,500,9,10
brownian-defect,20,1000,0,3
brownian-defect,20,1000,1,8
brownian-defect,20,1000,2,5
brownian-defect,20,1000,3,8
brownian-defect,20,1000,4,1
brownian-defect,20,1000,5,7
brownian-defect,20,1000,6,9
brownian-defect,20,1000,7,4
brownian-defect,20,1000,8,11
brownian-defect,20,1000,9,1
brownian-defect,20,2000,0,1
brownian-defect,20,2000,1,6
brownian-defect,20,2000,2,9
brownian-defect,20,2000,3,9
brownian-defect,20,2000,4,1
brownian-defect,20,2000,5,7
brownian-defect,20,2000,6,1
brownian-defect,20,2000,7,1
brownian-defect,20,2000,8,1
brownian-defect,20,2000,9,6
defect-turbulence,5,500,0,4
defect-turbulence,5,500,1,5
defect-turbulence,5,500,2,5
defect-turbulence,5,500,3,5
defect-turbulence,5,500,4,5
defect-turbulence,5,500,5,5
defect-turbulence,5,500,6,5
defect-turbulence,5,500,7,5
defect-turbulence,5,500,8,4
defect-turbulence,5,500,9,5
defect-turbulence,5,1000,0,5
defect-turbulence,5,1000,1,5
defect-turbulence,5,1000,2,5
defect-turbulence,5,1000,3,5
defect-turbulence,5,1000,4,5
defect-turbulence,5,1000,5,5
defect-turbulence,5,1000,6,5
defect-turbulence,5,1000,7,5
defect-turbulence,5,1000,8,5
defect-turbulence,5,1000,9,5
defect-turbulence,5,2000,0,5
defect-turbulence,5,2000,1,5
defect-turbulence,5,2000,2,5
defect-turbulence,5,2000,3,5
defect-turbulence,5,2000,4,5
defect-turbulence,5,2000,5,5
defect-turbulence,5,2000,6,5
defect-turbulence,5,2000,7,5
defect-turbulence,5,2000,8,5
defect-turbulence,5,2000,9,5
defect-turbulence,10,500,0,9
defect-turbulence,10,500,1,9
defect-turbulence,10,500,2,6
defect-turbulence,10,500,3,6
defect-turbulence,10,500,4,8
defect-turbulence,10,500,5,9
defect-turbulence,10,500,6,7
defect-turbulence,10,500,7,8
