class,seed,f0,f1,f2,f3,f4,f5
var-ring,3,0.3604819358341964,0.3022188514167665,0.7576232951646936,2.9958764151002795,0.1315620368443199,0.004436647145156464
var-ring,4,0.5533989667101692,0.5088051719256027,0.8482800882837627,2.732833474565035,0.23923264295461277,0.0
var-ring,5,0.4158300592389006,0.3688592683242744,0.7791141433406351,2.7837741466235126,0.1805341927083151,0.0
var-ring,6,0.5046343289197021,0.43512866637122205,0.8348095037572808,2.776163068555405,0.19118460590032152,0.001913663861549358
var-ring,7,0.5407656000973137,0.42973138801319655,0.8383471550599984,2.910830020223953,0.22448773923088144,0.001913663861549358
var-ring,8,0.49120048881075234,0.4111876031445397,0.80602553304791,2.8360431095288563,0.14931175092803828,0.0017900686308421248
var-ring,9,0.3890967783321421,0.3393487055501493,0.77938859100422,2.936572941642887,0.2184823604921026,0.0025012204052472066
var-ring,10,0.4288253640177508,0.36858672678970095,0.7921253496520646,2.841898989479168,0.19394286304503494,0.0
var-ring,11,0.4484627751407164,0.35848023842432514,0.8175341693055943,3.1134168702971303,0.21464684798789974,0.001171875
var-ring,12,0.45862293928108916,0.3747868010932853,0.789455703802485,2.97082730082838,0.17151029319410033,0.0035801372616842504
var-ring,13,0.5366081847322712,0.47232860059433995,0.8258042660143093,2.723940143760041,0.19007821383483892,0.0
var-ring,14,0.5693135151208051,0.5163225250280655,0.8292875709445893,2.7893118559618344,0.22266571227615942,0.0
var-ring,15,0.48754603976220334,0.4035047849094672,0.8249245359905875,2.769132362837736,0.26808333614821084,0.0
var-ring,16,0.3727919070087745,0.3181852171321418,0.7750786306935551,2.9699727189648932,0.1264182269890834,0.005182226234930313
var-ring,17,0.6263129696669656,0.5235213296442474,0.8624759995215541,2.5914836215696333,0.19463953533429412,0.0
var-ring,18,0.4572690618222095,0.37421763816198966,0.8055679494349794,2.98179204095294,0.19426688753495663,0.003125
var-ring,19,0.522838940043231,0.4334287892471766,0.8231621546320275,2.76757155418865,0.21203118328028886,0.0
sti-ii,0,0.9508540752815462,0.9295354449414657,-0.9497997065452604,1.1859845131152975,0.6282965706881937,0.0
sti-ii,1,0.9797475470771508,0.9742956241121283,-0.978468360206362,1.0814410995525399,0.6514624115426667,0.0
sti-ii,2,0.3007686739569954,0.34576562304085906,-0.8359228024576651,1.9401233514480503,0.2714019815685247,0.0019136638615493578
sti-ii,3,0.9350610092135938,0.9048428530947886,-0.9362045852199872,1.231938028975415,0.6179325949593502,0.0
sti-ii,4,0.21466701172512406,0.24250931807365256,-0.8205111093411306,1.923465880778148,0.2550968787437612,0.00234375
sti-ii,5,0.27501474732768977,0.3993929326269719,-0.8366563991219296,1.913816163694182,0.2444912242229626,0.0019136638615493578
sti-ii,6,0.2732411427205533,0.3490147177785855,-0.8339454559505721,1.903000119446101,0.23294293018955928,0.0011718750000000002
sti-ii,7,0.28941622002895767,0.32400450570155276,-0.8329307454187873,1.923600300746049,0.24495792109138734,0.0017900686308421248
sti-ii,8,0.4343070458725167,0.5249205203734705,-0.8698272431381195,1.7679548831492586,0.3694999416833127,0.0
sti-ii,9,0.6110968843536657,0.6461770895384029,-0.9122258588255985,1.5455092269634063,0.49445210644534116,0.0
sti-ii,10,0.7597120732086882,0.77467427372297,-0.9350778235070027,1.359696458725983,0.6322067368957675,0.0
sti-ii,11,0.9173754925489337,0.8849097722656749,-0.9494860578881967,1.2036036349361094,0.6242716233368364,0.0
sti-ii,12,0.30315743138895734,0.3267912199546403,-0.8468520343506644,1.8613623951157279,0.2979334524544456,0.0015625
sti-ii,13,0.9113686666987241,0.9236959125372155,-0.9618279470075997,1.227009776982179,0.637764451220502,0.0
sti-ii,14,0.22229830349281313,0.24077550549619905,-0.8176301991760523,1.9678765619700251,0.19547802554601285,0.0034938562148434213
sti-ii,15,0.2508813005155583,0.2705913081741178,-0.8133532145340521,1.949229727989247,0.1909095638950913,0.00234375
sti-ii,16,0.3940765263303595,0.4268775690687382,-0.8794163363390058,1.689173002472336,0.3670338551798974,0.0015625
sti-ii,17,0.795783931352477,0.795027342246256,-0.9211441687335279,1.413035620436934,0.6113648632915818,0.0
