original_run_path,metadata_records,catalogue,sha256,n_spis,decision,current_physical_path,storage_status,recommendation
/g/data/ql44/we2614/covariance_modulation_260909,640,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/synthetic/covariance-modulation/covariance_modulation_260909,live,retain
/g/data/ql44/we2614/hcp_working_memory_audit_260912,654,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/empirical/hcp-working-memory/processed/hcp_working_memory_audit_260912,live,retain
/g/data/ql44/we2614/interaction_share_260908,520,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/synthetic/interaction-share/pilot/interaction_share_260908,live,retain
/g/data/ql44/we2614/interaction_share_confirmation_260908,1200,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/synthetic/interaction-share/confirmation/interaction_share_confirmation_260908,live,retain
/g/data/ql44/we2614/interaction_share_phase_260908,1200,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/synthetic/interaction-share/controls/interaction_share_phase_260908,live,retain
/g/data/ql44/we2614/large_m_pair_baselines_260917,48,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/pyspi-optimisation/large-m-260917,live,retain
/g/data/ql44/we2614/mts-spi-data-v2/_discarded_smokes/post-heatmap-fix-pre-final-commit,4,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,,deleted_authorized,already_removed
/g/data/ql44/we2614/mts-spi-data-v2/_discarded_smokes/pre-no-heatmap-fix,2,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,,deleted_authorized,already_removed
/g/data/ql44/we2614/mts-spi-data-v2/embeddings/cml_param_sweep_260508,820,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/quadratic-cml/runs/cml_param_sweep_260508,deleted_authorized,User authorised deletion on 2026-09-23; compact derived features retained.
/g/data/ql44/we2614/mts-spi-data-v2/embeddings/cross_mt_cml_development_260824,360,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/cross-mt/data/development/cross_mt_cml_development_260824,live,retain
/g/data/ql44/we2614/mts-spi-data-v2/embeddings/cross_mt_confirmation_260824,2520,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/cross-mt/data/confirmation/cross_mt_confirmation_260824,live,retain
/g/data/ql44/we2614/mts-spi-data-v2/embeddings/multi_p90_260701,900,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/proof/data/development/multi_p90_260701,live,retain
/g/data/ql44/we2614/mts-spi-data/order_parameter/cml2d_confirmation_260911,1408,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/cml2d/runs/cml2d_confirmation_260911,live,retain
/g/data/ql44/we2614/mts-spi-data/order_parameter/cml2d_full_observation_260914,680,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/cml2d/runs/cml2d_full_observation_260914,live,retain
/g/data/ql44/we2614/mts-spi-data/order_parameter/finite_regime_260915/hindmarsh-rose,168,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/finite-regime/runs/finite_regime_260915/hindmarsh-rose,live,retain
/g/data/ql44/we2614/mts-spi-data/order_parameter/finite_regime_260915/lorenz96,168,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/finite-regime/runs/finite_regime_260915/lorenz96,live,retain
/g/data/ql44/we2614/mts-spi-data/order_parameter/finite_regime_260915/rossler,840,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/order-parameter-inference/finite-regime/runs/finite_regime_260915/rossler,live,retain
/g/data/ql44/we2614/mts-spi-data/zenodo_7118947/runs/p90-zscore/zenodo-7118947-p90-zscore,1053,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/archives/zenodo/7118947/unseeded-p90-260825.tar.zst,archived_superseded,superseded_archive_preserved
/g/data/ql44/we2614/mts-spi-data/zenodo_7118947/runs/p90-zscore/zenodo-7118947-p90-zscore-seed1729,1053,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/zenodo/7118947/runs/authoritative-seed1729,live,retain
/g/data/ql44/we2614/neurotycho_source_f64_extra_260910,448,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/source/neurotycho_source_f64_extra_260910,live,retain
/g/data/ql44/we2614/neurotycho_source_f64_scout_260910,256,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/source/neurotycho_source_f64_scout_260910,live,retain
/g/data/ql44/we2614/neurotycho_source_scout_260910,2,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/legacy-float32-scout/neurotycho_source_scout_260910,live,obsolete_float32_precision_scout_retained
/g/data/ql44/we2614/neurotycho_target_pf_260910,256,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/empirical/neurotycho/target/neurotycho_target_pf_260910,live,retain
/g/data/ql44/we2614/oscillatory_coorganization_pilot_260909,520,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/synthetic/oscillatory-coorganization/pilot/oscillatory_coorganization_pilot_260909,live,retain
/g/data/ql44/we2614/oscillatory_coorganization_scout_260909,96,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/synthetic/oscillatory-coorganization/scout/oscillatory_coorganization_scout_260909,live,retain
/g/data/ql44/we2614/oscillatory_coorganization_transfer_260909,400,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/synthetic/oscillatory-coorganization/transfer-faster/oscillatory_coorganization_transfer_260909,live,retain
/g/data/ql44/we2614/oscillatory_mechanism_transfer_260910,400,configs/pyspi/benchmarked_p90.yaml,bc4bafa16b4add8bb6283db490a9fa3d8dde4fde47093147d32579b989397965,289,p90_verified,/g/data/ql44/we2614/mts-spi-study/representation/synthetic/oscillatory-coorganization/transfer-mechanism/oscillatory_mechanism_transfer_260910,live,retain
